Incident_ID,Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
643,Germany,2017,Ransomware,IT,33.24,550719,Hacker Group,Zero-day,AI-based Detection,60
701,Japan,2018,Ransomware,Education,43.32,42876,Unknown,Unpatched Software,Antivirus,40
227,Japan,2015,Malware,Healthcare,26.29,808392,Hacker Group,Weak Passwords,AI-based Detection,4
1698,Japan,2017,SQL Injection,Education,11.49,364107,Hacker Group,Social Engineering,AI-based Detection,28
1011,China,2022,Phishing,Telecommunications,71.77,823093,Insider,Zero-day,Firewall,36
1573,Japan,2018,Ransomware,Education,82.89,336607,Unknown,Zero-day,AI-based Detection,17
777,USA,2019,SQL Injection,IT,17.81,378105,Unknown,Weak Passwords,Encryption,4
1731,Australia,2022,Man-in-the-Middle,Government,38.29,793946,Nation-state,Weak Passwords,Firewall,12
2827,Japan,2023,DDoS,Government,67.59,839088,Unknown,Unpatched Software,VPN,62
2229,Japan,2020,DDoS,Education,99.83,10859,Nation-state,Social Engineering,AI-based Detection,66
2795,China,2020,Phishing,Retail,17.99,36963,Insider,Zero-day,VPN,54
465,UK,2021,Malware,Education,70.9,490771,Nation-state,Weak Passwords,Antivirus,70
2652,India,2016,Man-in-the-Middle,Healthcare,8.25,875227,Unknown,Zero-day,AI-based Detection,20
1094,France,2017,SQL Injection,Healthcare,18.75,436009,Nation-state,Social Engineering,AI-based Detection,44
1272,Brazil,2024,DDoS,Government,24.23,889448,Hacker Group,Zero-day,VPN,20
2924,Russia,2015,Man-in-the-Middle,Government,13.26,616547,Hacker Group,Zero-day,AI-based Detection,22
1581,UK,2020,Phishing,Healthcare,66.55,843310,Hacker Group,Zero-day,Antivirus,71
1208,UK,2023,Malware,IT,49.13,116201,Nation-state,Zero-day,Firewall,14
213,UK,2017,Phishing,Telecommunications,27.08,416833,Insider,Social Engineering,VPN,9
